sitio;codigo;unidad
rio_claro;T3H72A5;1
rio_claro;T3H72A6;2
rio_claro;T3H72A7;3
rio_claro;T1H67A5;1
rio_claro;T1H67A6;2
rio_claro;T1H66A5;3
rio_claro;T4H62A8;1
rio_claro;T4H61A4;2
rio_claro;T4H61A6;3
rio_claro;T2H56A6;1
rio_claro;T2H55A6;2
rio_claro;T2H55A8;3
rio_claro;T0H50A4;1
rio_claro;T0H51A9;2
rio_claro;T0H52A8;3
la_esperanza;T4H79A4;1
la_esperanza;T4H79A7;2
la_esperanza;T4H81A4;3
la_esperanza;T1H85A4;1
la_esperanza;T1H85A5;2
la_esperanza;T1H86A7;3
la_esperanza;T2H93A4;1
la_esperanza;T2H94A4;2
la_esperanza;T2H94A6;3
la_esperanza;T3H98A8;1
la_esperanza;T3H98A9;2
la_esperanza;T3H99A8;3
la_esperanza;T0H103A5;1
la_esperanza;T0H103A6;2
la_esperanza;T0H104A6;3
